date,btc
25/07/2016,654.096985
26/07/2016,651.783997
27/07/2016,654.35199
28/07/2016,655.034973
29/07/2016,656.992004
01/08/2016,606.271973
02/08/2016,547.465027
03/08/2016,566.35498
04/08/2016,578.289001
05/08/2016,575.04303
08/08/2016,591.054016
09/08/2016,587.801025
10/08/2016,592.103027
11/08/2016,589.119995
12/08/2016,587.559021
13/08/2016,585.588013
14/08/2016,570.473022
15/08/2016,567.23999
16/08/2016,577.439026
17/08/2016,573.216003
18/08/2016,574.317993
19/08/2016,575.630005
20/08/2016,581.697021
21/08/2016,581.307983
22/08/2016,586.752991
23/08/2016,583.414978
24/08/2016,580.182007
25/08/2016,577.760986
26/08/2016,579.651001
27/08/2016,569.947021
28/08/2016,573.911987
29/08/2016,574.106995
30/08/2016,577.502991
31/08/2016,575.471985
01/09/2016,572.302979
02/09/2016,575.536987
03/09/2016,598.211975
04/09/2016,608.633972
05/09/2016,606.590027
06/09/2016,610.435974
07/09/2016,614.544006
08/09/2016,626.315979
09/09/2016,622.861023
10/09/2016,623.508972
11/09/2016,606.718994
12/09/2016,608.242981
13/09/2016,609.241028
14/09/2016,610.684021
15/09/2016,607.155029
16/09/2016,606.973022
17/09/2016,605.984009
18/09/2016,609.874023
19/09/2016,609.22699
20/09/2016,608.312012
21/09/2016,597.148987
22/09/2016,596.297974
23/09/2016,602.84198
24/09/2016,602.625
25/09/2016,600.825989
26/09/2016,608.04303
27/09/2016,606.166016
28/09/2016,604.728027
29/09/2016,605.692993
30/09/2016,609.734985
01/10/2016,613.982971
02/10/2016,610.892029
03/10/2016,612.132996
04/10/2016,610.203979
05/10/2016,612.510986
06/10/2016,613.020996
07/10/2016,617.120972
08/10/2016,619.107971
09/10/2016,616.752014
10/10/2016,618.994019
11/10/2016,641.072021
12/10/2016,636.192017
13/10/2016,636.786011
14/10/2016,640.377991
15/10/2016,638.645996
16/10/2016,641.630981
17/10/2016,639.192993
18/10/2016,637.960022
19/10/2016,630.52002
20/10/2016,630.856995
