date,dxy
25/07/2016,97.290001
26/07/2016,97.160004
27/07/2016,97.050003
28/07/2016,96.739998
29/07/2016,95.529999
31/07/2016,null
01/08/2016,95.709999
02/08/2016,95.059998
03/08/2016,95.559998
04/08/2016,95.760002
05/08/2016,96.190002
07/08/2016,null
08/08/2016,96.400002
09/08/2016,96.18
10/08/2016,95.650002
11/08/2016,95.860001
12/08/2016,95.720001
14/08/2016,null
15/08/2016,95.629997
16/08/2016,94.790001
17/08/2016,94.720001
18/08/2016,94.160004
19/08/2016,94.510002
21/08/2016,null
22/08/2016,94.519997
23/08/2016,94.540001
24/08/2016,94.790001
25/08/2016,94.769997
26/08/2016,95.57
28/08/2016,null
29/08/2016,95.580002
30/08/2016,96.050003
31/08/2016,96.019997
01/09/2016,95.650002
02/09/2016,95.879997
04/09/2016,null
06/09/2016,94.82
07/09/2016,94.959999
08/09/2016,95.029999
09/09/2016,95.339996
11/09/2016,null
12/09/2016,95.099998
13/09/2016,95.629997
14/09/2016,95.330002
15/09/2016,95.290001
16/09/2016,96.110001
18/09/2016,null
19/09/2016,95.839996
20/09/2016,96.019997
21/09/2016,95.660004
22/09/2016,95.449997
23/09/2016,95.480003
25/09/2016,null
26/09/2016,95.309998
27/09/2016,95.440002
28/09/2016,95.43
29/09/2016,95.540001
30/09/2016,95.459999
02/10/2016,null
03/10/2016,95.75
04/10/2016,96.120003
05/10/2016,96.129997
06/10/2016,96.660004
07/10/2016,96.519997
09/10/2016,null
11/10/2016,97.699997
12/10/2016,97.970001
13/10/2016,97.519997
14/10/2016,98.019997
16/10/2016,null
17/10/2016,97.889999
18/10/2016,97.900002
19/10/2016,97.870003
20/10/2016,98.32
21/10/2016,98.699997
23/10/2016,null
24/10/2016,98.669998
25/10/2016,98.720001
26/10/2016,98.629997
27/10/2016,98.889999
28/10/2016,98.349998
30/10/2016,null
31/10/2016,98.449997
01/11/2016,97.699997
02/11/2016,97.400002
03/11/2016,97.160004
04/11/2016,97.07
06/11/2016,null
07/11/2016,97.779999
08/11/2016,97.860001
09/11/2016,98.5
10/11/2016,98.790001
13/11/2016,null
14/11/2016,100.110001
15/11/2016,100.190002
16/11/2016,100.410004
17/11/2016,100.889999
18/11/2016,101.209999
20/11/2016,null
21/11/2016,101.050003
22/11/2016,101.040001
23/11/2016,101.699997
25/11/2016,101.489998
27/11/2016,null
28/11/2016,101.330002
29/11/2016,100.93
30/11/2016,101.5
01/12/2016,101.040001
02/12/2016,100.769997
04/12/2016,null
05/12/2016,100.139999
06/12/2016,100.489998
07/12/2016,100.230003
08/12/2016,101.07
09/12/2016,101.57
11/12/2016,null
12/12/2016,100.959999
13/12/2016,101.029999
14/12/2016,102
15/12/2016,103.129997
16/12/2016,102.949997
18/12/2016,null
19/12/2016,103.139999
20/12/2016,103.290001
21/12/2016,103.019997
22/12/2016,103.089996
23/12/2016,103.010002
25/12/2016,null
27/12/2016,103.019997
28/12/2016,103.260002
29/12/2016,102.68
30/12/2016,102.389999
01/01/2017,null
03/01/2017,103.209999
04/01/2017,102.699997
05/01/2017,101.519997
06/01/2017,102.220001
08/01/2017,null
09/01/2017,101.93
10/01/2017,102.010002
11/01/2017,101.779999
12/01/2017,101.349998
13/01/2017,101.18
15/01/2017,null
17/01/2017,100.330002
18/01/2017,100.93
19/01/2017,101.150002
20/01/2017,100.739998
22/01/2017,null
23/01/2017,100.160004
24/01/2017,100.349998
25/01/2017,100.029999
26/01/2017,100.379997
27/01/2017,100.529999
29/01/2017,null
30/01/2017,100.43
31/01/2017,99.510002
01/02/2017,99.639999
02/02/2017,99.849998
03/02/2017,99.870003
05/02/2017,null
06/02/2017,99.910004
07/02/2017,100.260002
08/02/2017,100.279999
09/02/2017,100.650002
10/02/2017,100.800003
12/02/2017,null
13/02/2017,100.959999
14/02/2017,101.25
15/02/2017,101.18
16/02/2017,100.440002
17/02/2017,100.949997
19/02/2017,null
21/02/2017,101.370003
22/02/2017,101.330002
23/02/2017,101.050003
24/02/2017,101.089996
26/02/2017,null
27/02/2017,101.129997
28/02/2017,101.120003
01/03/2017,101.779999
02/03/2017,102.199997
03/03/2017,101.540001
05/03/2017,null
06/03/2017,101.639999
07/03/2017,101.809998
08/03/2017,102.07
09/03/2017,101.849998
10/03/2017,101.25
12/03/2017,null
13/03/2017,101.379997
14/03/2017,101.699997
15/03/2017,100.739998
16/03/2017,100.269997
17/03/2017,100.300003
19/03/2017,null
20/03/2017,100.410004
21/03/2017,99.809998
22/03/2017,99.68
23/03/2017,99.760002
24/03/2017,99.629997
26/03/2017,null
27/03/2017,99.169998
28/03/2017,99.709999
29/03/2017,100
30/03/2017,100.410004
31/03/2017,100.349998
02/04/2017,null
03/04/2017,100.540001
04/04/2017,100.540001
05/04/2017,100.559998
06/04/2017,100.669998
07/04/2017,101.18
09/04/2017,null
10/04/2017,101.019997
11/04/2017,100.709999
12/04/2017,100.779999
13/04/2017,100.559998
16/04/2017,null
17/04/2017,100.300003
18/04/2017,99.5
19/04/2017,99.739998
20/04/2017,99.779999
21/04/2017,99.980003
23/04/2017,null
24/04/2017,99.089996
25/04/2017,98.82
26/04/2017,98.959999
27/04/2017,99.080002
28/04/2017,99.050003
30/04/2017,null
01/05/2017,99.139999
02/05/2017,98.980003
03/05/2017,99.209999
04/05/2017,98.760002
05/05/2017,98.650002
07/05/2017,null
08/05/2017,99.150002
09/05/2017,99.589996
10/05/2017,99.669998
11/05/2017,99.620003
